index  neuron   ntails   itail   ltail 
      120000      8    2     1    2 
      120000      9    2     0    7 
      120000      9    2     1    1 
      120000     10    1     0    3 
      120000     11    1     0    5 
      120000     12    1     0    5 
      120000     13    2     0    7 
      120000     13    2     1    0 
      120000     14    1     0    3 
      120000     15    2     0    7 
      120000     15    2     1    1 
      120000     16    1     0    5 
      120000     17    1     0    5 
      120000     18    2     0    7 
      120000     18    2     1    1 
      120000     19    2     0    7 
      120000     19    2     1    1 
      120000     20    1     0    5 
      120000     21    2     0    7 
      120000     21    2     1    3 
      120000     22    1     0    7 
      120000     23    1     0    7 
      120000     24    1     0    3 
      125000      0    2     0    7 
      125000      0    2     1    1 
      125000      1    1     0    5 
      125000      2    1     0    3 
      125000      3    2     0    7 
      125000      3    2     1    5 
      125000      4    1     0    7 
      125000      5    1     0    3 
      125000      6    1     0    4 
      125000      7    2     0    7 
      125000      7    2     1    2 
      125000      8    2     0    7 
      125000      8    2     1    1 
      125000      9    2     0    7 
      125000      9    2     1    1 
      125000     10    1     0    3 
      125000     11    1     0    5 
      125000     12    1     0    3 
      125000     13    2     0    7 
      125000     13    2     1    0 
      125000     14    2     0    7 
      125000     14    2     1    1 
      125000     15    1     0    4 
      125000     16    1     0    6 
      125000     17    1     0    3 
      125000     18    2     0    7 
      125000     18    2     1    1 
      125000     19    2     0    7 
      125000     19    2     1    1 
      125000     20    1     0    3 
      125000     21    2     0    7 
      125000     21    2     1    3 
      125000     22    1     0    3 
      125000     23    2     0    7 
      125000     23    2     1    3 
      125000     24    2     0    7 
      125000     24    2     1    1 
      125000     25    1     0    3 
      130000      0    1     0    4 
      130000      1    1     0    5 
      130000      2    1     0    3 
      130000      3    2     0    7 
      130000      3    2     1    1 
      130000      4    1     0    5 
      130000      5    1     0    6 
      130000      6    1     0    3 
      130000      7    1     0    5 
      130000      8    1     0    5 
      130000      9    1     0    7 
      130000     10    1     0    7 
      130000     11    1     0    3 
      130000     12    1     0    3 
      130000     13    1     0    5 
      130000     14    1     0    3 
      130000     15    1     0    3 
      130000     16    1     0    4 
      130000     17    2     0    7 
      130000     17    2     1    1 
      130000     18    2     0    7 
      130000     18    2     1    1 
      130000     19    1     0    5 
      130000     20    1     0    3 
      130000     21    2     0    7 
      130000     21    2     1    1 
      130000     22    2     0    7 
      130000     22    2     1    1 
      130000     23    1     0    3 
      130000     24    2     0    7 
      130000     24    2     1    3 
      130000     25    1     0    3 
      130000     26    1     0    3 
